line_number,raw_date,corrected_date,date,year_correction_applied,lift,lift_name,weight,reps,failed,estimated_1rm,raw
541,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
542,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
543,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
544,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
545,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
546,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,90.0,5,False,105.0,90 *  5
547,2022-06-27,2022-06-27,2022-06-27,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
579,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
580,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
581,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
582,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
583,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
584,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
585,2022-06-30,2022-06-30,2022-06-30,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
596,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
597,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
598,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
599,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
600,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
601,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,100.0,3,False,110.00000000000001,100 * 3
602,2022-07-04,2022-07-04,2022-07-04,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
633,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
634,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
635,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
