date,lift,lift_name,top_weight,best_estimated_1rm,total_volume,total_sets
2023-08-31,bench,벤치프레스,100.0,106.66666666666667,2700.0,7
2023-09-01,deadlift,데드리프트,170.0,175.66666666666669,1670.0,8
2023-09-04,bench,벤치프레스,110.0,113.66666666666667,2910.0,8
2023-09-05,deadlift,데드리프트,170.0,181.33333333333334,1840.0,8
2023-09-06,squat,스쿼트,130.0,134.33333333333334,1560.0,6
2023-09-07,bench,벤치프레스,110.0,113.66666666666667,1860.0,6
2023-09-08,deadlift,데드리프트,170.0,175.66666666666669,1390.0,6
2023-09-11,bench,벤치프레스,110.0,116.66666666666667,2160.0,6
2023-09-13,squat,스쿼트,140.0,144.66666666666669,1700.0,7
2023-09-14,bench,벤치프레스,110.0,121.00000000000001,2030.0,5
2023-09-15,deadlift,데드리프트,180.0,186.00000000000003,1850.0,9
2023-09-18,bench,벤치프레스,120.0,124.00000000000001,2150.0,6
2023-09-20,squat,스쿼트,140.0,144.66666666666669,1810.0,7
2023-09-21,bench,벤치프레스,110.0,124.66666666666666,2540.0,6
2023-09-23,deadlift,데드리프트,180.0,186.00000000000003,1560.0,7
2023-09-23,squat,스쿼트,140.0,144.66666666666669,360.0,3
2023-09-26,deadlift,데드리프트,180.0,186.00000000000003,1570.0,7
2023-09-27,squat,스쿼트,150.0,155.00000000000003,1340.0,6
2023-10-02,bench,벤치프레스,120.0,128.33333333333334,2700.0,7
2023-10-03,deadlift,데드리프트,190.0,196.33333333333334,1640.0,7
2023-10-04,squat,스쿼트,140.0,144.66666666666669,1190.0,5
2023-10-05,bench,벤치프레스,120.0,128.33333333333334,1590.0,4
2023-10-06,deadlift,데드리프트,190.0,196.33333333333334,1170.0,5
2023-10-07,squat,스쿼트,150.0,155.00000000000003,1860.0,6
2023-10-10,deadlift,데드리프트,190.0,196.33333333333334,1310.0,5
2023-10-12,bench,벤치프레스,120.0,128.33333333333334,2360.0,6
2023-10-13,deadlift,데드리프트,190.0,196.33333333333334,1170.0,5
2023-10-14,squat,스쿼트,140.0,144.66666666666669,1170.0,4
2023-10-16,bench,벤치프레스,120.0,132.0,2860.0,6
2023-10-17,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2023-10-18,squat,스쿼트,150.0,155.00000000000003,1460.0,7
2023-10-19,bench,벤치프레스,120.0,128.33333333333334,2410.0,6
2023-10-20,deadlift,데드리프트,180.0,186.00000000000003,980.0,4
2023-10-23,bench,벤치프레스,120.0,132.0,2310.0,5
2023-10-24,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2023-10-28,bench,벤치프레스,130.0,134.33333333333334,460.0,4
2023-10-28,squat,스쿼트,140.0,144.66666666666669,560.0,3
2023-10-30,bench,벤치프레스,120.0,132.0,2750.0,6
2023-10-31,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2023-11-01,squat,스쿼트,140.0,144.66666666666669,560.0,3
2023-11-02,bench,벤치프레스,120.0,128.33333333333334,2240.0,5
2023-11-04,squat,스쿼트,140.0,144.66666666666669,840.0,5
2023-11-06,bench,벤치프레스,120.0,136.0,1330.0,3
2023-11-07,deadlift,데드리프트,210.0,217.00000000000003,1390.0,6
2023-11-09,bench,벤치프레스,120.0,136.0,2560.0,6
2023-11-10,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2023-11-13,bench,벤치프레스,120.0,132.0,2550.0,6
2023-11-15,squat,스쿼트,140.0,144.66666666666669,690.0,4
2023-11-16,bench,벤치프레스,120.0,128.33333333333334,1090.0,3
2023-11-17,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2023-11-21,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2023-11-23,bench,벤치프레스,120.0,128.33333333333334,2520.0,6
2023-11-27,bench,벤치프레스,130.0,134.33333333333334,1340.0,4
2023-12-04,bench,벤치프레스,120.0,128.33333333333334,2520.0,6
2023-12-05,deadlift,데드리프트,180.0,186.00000000000003,820.0,3
2024-01-11,bench,벤치프레스,120.0,128.33333333333334,2550.0,6
2024-01-13,deadlift,데드리프트,120.0,124.00000000000001,520.0,3
2024-01-13,squat,스쿼트,120.0,124.00000000000001,1320.0,4
2024-01-15,bench,벤치프레스,120.0,128.33333333333334,2190.0,6
2024-01-16,bench,벤치프레스,100.0,126.66666666666666,800.0,1
2024-01-16,deadlift,데드리프트,150.0,155.00000000000003,910.0,4
2024-01-18,bench,벤치프레스,120.0,128.33333333333334,1520.0,5
2024-01-22,bench,벤치프레스,120.0,128.33333333333334,2605.0,6
2024-01-24,squat,스쿼트,120.0,132.0,1760.0,6
2024-01-27,squat,스쿼트,130.0,134.33333333333334,1050.0,4
2024-01-31,squat,스쿼트,130.0,140.0,1660.0,4
2024-02-01,bench,벤치프레스,120.0,128.33333333333334,1825.0,5
2024-02-02,deadlift,데드리프트,160.0,165.33333333333334,800.0,3
2024-02-03,squat,스쿼트,140.0,144.66666666666669,1930.0,5
2024-02-05,bench,벤치프레스,120.0,128.33333333333334,2410.0,6
2024-02-06,deadlift,데드리프트,180.0,186.00000000000003,980.0,4
2024-02-07,squat,스쿼트,140.0,144.66666666666669,1180.0,4
2024-02-14,squat,스쿼트,150.0,155.00000000000003,2460.0,7
2024-02-16,deadlift,데드리프트,200.0,206.66666666666669,780.0,5
2024-02-17,squat,스쿼트,140.0,144.66666666666669,1060.0,4
2024-02-19,bench,벤치프레스,120.0,124.66666666666666,2070.0,6
2024-02-20,deadlift,데드리프트,200.0,206.66666666666669,880.0,5
2024-02-22,bench,벤치프레스,120.0,128.33333333333334,2410.0,6
2024-02-23,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-02-26,bench,벤치프레스,120.0,132.0,2640.0,6
2024-02-27,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-02-28,squat,스쿼트,140.0,144.66666666666669,360.0,3
2024-02-29,bench,벤치프레스,120.0,128.33333333333334,1090.0,3
2024-03-01,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-03-04,bench,벤치프레스,120.0,132.0,2860.0,6
2024-03-05,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-03-06,squat,스쿼트,140.0,144.66666666666669,1930.0,5
2024-03-07,bench,벤치프레스,120.0,140.0,3100.0,6
2024-03-08,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-03-11,bench,벤치프레스,130.0,140.0,2515.0,6
2024-03-12,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-03-13,squat,스쿼트,140.0,144.66666666666669,1190.0,5
2024-03-14,bench,벤치프레스,130.0,140.0,2550.0,6
2024-03-15,deadlift,데드리프트,200.0,206.66666666666669,1180.0,5
2024-03-18,bench,벤치프레스,120.0,136.0,2410.0,6
2024-03-19,deadlift,데드리프트,210.0,217.00000000000003,1390.0,6
2024-03-26,bench,벤치프레스,120.0,132.0,1300.0,3
2024-03-26,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-03-26,squat,스쿼트,140.0,144.66666666666669,490.0,4
2024-04-01,bench,벤치프레스,120.0,128.33333333333334,2830.0,6
2024-04-02,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-04-03,squat,스쿼트,130.0,136.0,1410.0,4
2024-04-05,bench,벤치프레스,120.0,124.00000000000001,620.0,2
2024-04-05,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-04-06,squat,스쿼트,140.0,144.66666666666669,790.0,5
2024-04-08,bench,벤치프레스,120.0,132.0,1980.0,6
2024-04-09,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-04-10,squat,스쿼트,150.0,155.00000000000003,1340.0,6
2024-04-11,bench,벤치프레스,120.0,132.0,2100.0,6
2024-04-12,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-04-15,bench,벤치프레스,120.0,140.0,2580.0,6
2024-04-16,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-04-17,squat,스쿼트,150.0,155.00000000000003,1340.0,6
2024-04-18,bench,벤치프레스,120.0,136.0,2460.0,6
2024-04-19,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-04-20,squat,스쿼트,150.0,155.00000000000003,1390.0,6
2024-04-22,bench,벤치프레스,120.0,140.0,2580.0,6
2024-04-23,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-04-24,squat,스쿼트,100.0,103.33333333333334,400.0,2
2024-04-29,bench,벤치프레스,120.0,140.0,2460.0,6
2024-05-02,bench,벤치프레스,120.0,140.0,2460.0,6
2024-05-04,squat,스쿼트,140.0,144.66666666666669,2100.0,8
2024-05-06,bench,벤치프레스,120.0,136.0,2340.0,6
2024-05-07,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-05-09,bench,벤치프레스,130.0,140.0,2350.0,6
2024-05-13,bench,벤치프레스,120.0,136.0,2460.0,6
2024-05-14,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-05-15,squat,스쿼트,140.0,144.66666666666669,2290.0,7
2024-05-16,bench,벤치프레스,130.0,136.0,1990.0,6
2024-05-17,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-05-18,squat,스쿼트,140.0,149.33333333333334,1960.0,6
2024-05-20,bench,벤치프레스,130.0,140.0,2360.0,6
2024-05-21,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-05-22,squat,스쿼트,150.0,155.00000000000003,1660.0,6
2024-05-23,bench,벤치프레스,130.0,140.0,2110.0,6
2024-05-24,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-05-25,squat,스쿼트,150.0,155.00000000000003,1520.0,5
2024-05-27,bench,벤치프레스,130.0,140.0,2480.0,6
2024-05-28,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-05-29,squat,스쿼트,150.0,155.00000000000003,2060.0,6
2024-06-03,bench,벤치프레스,130.0,140.0,1750.0,5
2024-06-04,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-06-05,squat,스쿼트,150.0,155.00000000000003,1390.0,4
2024-06-06,bench,벤치프레스,130.0,140.0,2360.0,6
2024-06-07,deadlift,데드리프트,210.0,217.00000000000003,1030.0,4
2024-06-10,bench,벤치프레스,130.0,140.0,2480.0,6
2024-06-11,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-06-13,bench,벤치프레스,130.0,140.0,2480.0,6
2024-06-13,squat,스쿼트,150.0,158.66666666666666,2160.0,5
2024-06-14,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-06-15,squat,스쿼트,150.0,160.0,1810.0,4
2024-06-17,bench,벤치프레스,130.0,140.0,2240.0,6
2024-06-18,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-06-19,squat,스쿼트,150.0,158.66666666666666,1660.0,4
2024-06-20,bench,벤치프레스,130.0,143.0,2390.0,6
2024-06-21,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-06-24,bench,벤치프레스,140.0,144.66666666666669,1560.0,5
2024-06-25,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-06-26,squat,스쿼트,150.0,163.33333333333334,1800.0,4
2024-06-27,bench,벤치프레스,130.0,143.0,1290.0,3
2024-06-28,deadlift,데드리프트,220.0,227.33333333333334,840.0,5
2024-06-29,squat,스쿼트,160.0,165.33333333333334,1000.0,6
2024-07-01,bench,벤치프레스,130.0,140.0,1390.0,4
2024-07-02,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-07-03,squat,스쿼트,170.0,175.66666666666669,1910.0,6
2024-07-04,bench,벤치프레스,130.0,140.0,2360.0,6
2024-07-05,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-07-06,squat,스쿼트,170.0,175.66666666666669,1050.0,6
2024-07-08,bench,벤치프레스,130.0,140.0,1880.0,5
