line_number,raw_date,corrected_date,date,month,lift,lift_name,weight,reps,sets,failed,estimated_1rm,raw,year_correction_applied
433,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
434,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
435,2022-06-15,2022-06-15,2022-06-15,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
442,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
443,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
444,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
445,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
446,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
447,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
448,2022-06-16,2022-06-16,2022-06-16,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
480,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
481,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
482,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
483,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
484,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
485,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
486,2022-06-20,2022-06-20,2022-06-20,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
501,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
502,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
503,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
504,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
505,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
506,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
507,2022-06-22,2022-06-22,2022-06-22,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
541,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
542,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
543,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
544,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
545,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
546,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 *  5,False
547,2022-06-27,2022-06-27,2022-06-27,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
579,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
580,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
581,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
582,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
583,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
584,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
585,2022-06-30,2022-06-30,2022-06-30,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
596,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
597,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
598,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
599,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
600,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
601,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,100.0,3,1,False,110.00000000000001,100 * 3,False
602,2022-07-04,2022-07-04,2022-07-04,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
633,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
634,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
635,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
636,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
637,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
638,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
639,2022-07-12,2022-07-12,2022-07-12,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
649,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
650,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
651,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
652,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
653,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
654,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
655,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
656,2022-07-14,2022-07-14,2022-07-14,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
673,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
